Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
03/2018,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction Procurement,02/14/2011,07/11/2020
08/2018,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,03/14/2022
01/2019,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,03/14/2022
05/2019,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,04/13/2022
09/2019,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,
01/2020,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,
05/2020,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,
10/2020,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Construction,02/14/2011,04/13/2022
09/2013,Rehabilitation of fender system and repair/replacement of the superstructure and bridge deck of the 155th Street Viaduct.,Design,02/08/2011,03/23/2018
01/2014,This project will rehabilitate the fender system and adjoining 155th St viaduct.,Design,02/08/2011,03/23/2018
05/2014,This project will rehabilitate the fender system and adjoining 155th St viaduct.,Design,02/08/2011,03/23/2018
02/2015,Repair the fender system and adjoining 155th Street viaduct.,Construction Procurement,02/08/2011,12/16/2017
08/2015,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,12/09/2017
01/2016,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,12/09/2017
06/2016,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,12/09/2017
11/2016,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,12/09/2017
04/2017,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,12/09/2017
09/2017,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,12/09/2017
03/2018,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,06/29/2020
08/2018,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,07/23/2019
01/2019,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,07/23/2019
05/2019,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,01/29/2020
09/2019,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,
01/2020,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,
05/2020,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,
10/2020,Repair the fender system and adjoining 155th Street viaduct.,Construction,02/08/2011,
09/2013,"Rehabilitate deteriorated steel members, concrete abutments / bearing walls, concrete deck repairs, and seismic retrofitting.",Design,07/25/2005,08/20/2018
01/2014,"This project will rehabilitate deteriorated steel members, concrete abutments/bearing walls, concrete deck repairs, and include seismic retrofitting.",Design,07/25/2005,08/20/2018
05/2014,"This project will rehabilitate deteriorated steel members, concrete abutments/bearing walls, concrete deck repairs, and include seismic retrofitting.",Design,07/25/2005,08/20/2018
02/2015,"Repair the deteriorated steel members, concrete abutments/bearing walls, and concrete deck repairs. Includes seismic retrofitting.",Design,07/25/2005,03/30/2020
08/2015,"Repair the deteriorated steel members, concrete abutments/bearing walls, and concrete deck repairs. Includes seismic retrofitting.",Design,07/25/2005,07/31/2020
01/2016,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Design,07/25/2005,07/31/2020
06/2016,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Design,07/25/2005,12/22/2020
11/2016,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Design,07/25/2005,01/31/2021
04/2017,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Design,07/25/2005,03/08/2021
09/2017,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/01/2021
03/2018,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/01/2021
08/2018,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/02/2021
01/2019,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,03/10/2021
05/2019,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/02/2021
09/2019,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/01/2021
01/2020,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/01/2021
05/2020,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,
10/2020,"Repair the deteriorated steel members, concrete abutments/bearing walls, complete concrete deck replacement, and seismic retrofitting.",Construction,07/25/2005,04/01/2021
09/2013,"Rehabilitate existing bridge sub and superstructure separating the NYCDOT Roadway Bridge and NYCT components. Provide new steel plate girders, concrete deck, pedestals, backwalls, sidewalks and bridge railing.",Design,02/14/2000,10/02/2020
01/2014,"This project includes the rehabilitation of the existing bridge and separation of the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks and bridge railing.",Design,02/14/2000,05/09/2020
05/2014,"This project includes the rehabilitation of the existing bridge and separation of the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks and bridge railing.",Design,02/14/2000,05/09/2020
02/2015,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,05/09/2020
08/2015,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,12/17/2020
01/2016,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,07/21/2020
06/2016,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,05/09/2020
11/2016,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,06/30/2020
04/2017,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,03/05/2021
09/2017,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,03/23/2021
03/2018,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,06/15/2021
08/2018,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,10/16/2021
01/2019,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Design,02/14/2000,07/03/2022
05/2019,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Construction Procurement,02/14/2000,05/29/2022
09/2019,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Construction Procurement,02/14/2000,
01/2020,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Construction Procurement,02/14/2000,
05/2020,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Construction,02/14/2000,01/16/2023
10/2020,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",Construction,02/14/2000,01/16/2023
09/2017,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.",Design,08/15/2017,02/02/2023
03/2018,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.",Design,08/15/2017,05/08/2023
08/2018,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.",Design,08/15/2017,06/13/2024
01/2019,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.",Design,08/15/2017,01/22/2024
05/2019,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.",Design,08/15/2017,07/13/2024
