school/pe.Borough,school/pe.Admin District,school/pe.Geographical District,school/pe.Location Code,school/pe.School Level ,school/pe.Student Enrollment,school/pe.Full Time Licensed PE Teachers,school/pe.F Status PE Teachers*,school/pe.Itinerant PE Teachers*,school/pe.Sum of F Status and Itinerant*,school/pe.Total Part Time and Full Time PE Teachers*,school/pe.Shared PE teachers with another school*,school/pe.Ratio of Full Time Licensed PE Teachers to Students*,DBN
Brooklyn,20,20,K069,Elementary                         ,804,0,0,0,0,0,0,0,20K069
Queens,26,26,Q158,Junior High-Intermediate-Middle    ,1056,4,0,0,0,4,0,1:264,26Q158
Bronx,8,8,X432,High School                        ,290,1,0,0,0,1,0,1:290,08X432
Brooklyn,16,16,K309,Elementary                         ,158,1,0,0,0,1,0,1:158,16K309
Queens,30,30,Q501,High School                        ,838,3,0,0,0,3,0,1:279,30Q501
Brooklyn,32,32,K075,Elementary                         ,330,0,0,0,0,0,0,0,32K075
Bronx,8,8,X062,Elementary                         ,598,1,0,0,0,1,0,1:598,08X062
Brooklyn,15,15,K295,Elementary                         ,413,0,2,0,2,2,0,0,15K295
Queens,28,28,Q325,High School                        ,461,2,0,0,0,2,0,1:231,28Q325
Manhattan,2,2,M546,High School                        ,441,2,0,0,0,2,0,1:221,02M546
Brooklyn,18,18,K115,Elementary                         ,872,0,0,0,0,0,0,0,18K115
Queens,24,24,Q093,Junior High-Intermediate-Middle    ,1082,4,0,0,0,4,0,1:271,24Q093
Queens,30,30,Q011,Elementary                         ,1088,0,0,0,0,0,0,0,30Q011
Manhattan,2,2,M374,High School                        ,511,2,0,0,0,2,0,1:256,02M374
Staten Island,31,31,R050,Elementary                         ,746,0,0,0,0,0,0,0,31R050
Bronx,7,7,X495,High School                        ,461,1,0,0,0,1,0,1:461,07X495
Queens,27,27,Q045,Elementary                         ,298,1,0,0,0,1,0,1:298,27Q045
Bronx,10,10,X003,K-8                                ,293,1,0,0,0,1,0,1:293,10X003
Manhattan,2,2,M527,Elementary                         ,283,0,0,0,0,0,0,0,02M527
Brooklyn,22,22,K194,Elementary                         ,440,1,0,0,0,1,0,1:440,22K194
Brooklyn,23,23,K643,High School                        ,184,1,0,0,0,1,0,1:184,23K643
Queens,24,24,Q143,Elementary                         ,1649,2,0,0,0,2,0,1:825,24Q143
Queens,27,27,Q400,High School                        ,327,3,0,0,0,3,0,1:109,27Q400
Brooklyn,17,17,K568,High School                        ,103,1,0,0,0,1,0,1:103,17K568
Staten Island,31,31,R022,Elementary                         ,938,1,0,0,0,1,0,1:938,31R022
Queens,24,24,Q113,K-8                                ,891,1,0,0,0,1,0,1:891,24Q113
