school/oss.LOCATION NAME,school/oss.LOCATION CATEGORY,school/oss.ADMINISTRATIVE DISTRICT,school/oss.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,school/oss.ASIAN STUDENTS With 2 or More Suspensions or Removals,school/oss.BLACK STUDENTS With 2 or More Suspensions or Removals,school/oss.HISPANIC STUDENTS With 2 or More Suspensions or Removals,school/oss.WHITE STUDENTS With 2 or More Suspensions or Removals,school/oss.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,school/oss.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,school/oss.TOTAL STUDENTS With 2 or More Suspensions or Removals,DBN
P.S. 206 The Horace Harding School,Elementary,28.0,*,*,*,*,*,*,*,*,28Q206
School for Excellence,High school,9.0,*,*,*,*,*,*,*,*,09X404
Business Of Sports School,High school,2.0,*,*,*,*,*,*,*,14,02M393
Academy of Innovative Technology,High school,19.0,*,*,*,*,*,*,*,*,19K618
In-Tech Academy (M.S. / High School 368),Secondary School,10.0,*,*,*,10,*,*,*,13,10X368
P.S. 107 Thomas A Dooley,Elementary,25.0,*,*,*,*,*,*,*,*,25Q107
"Science Skills Center High School for Science, Tec",High school,13.0,*,*,*,*,*,*,*,*,13K419
P.S. 028 The Warren Prep Academy,Elementary,16.0,*,*,*,*,*,*,*,*,16K028
I.S. 238 - Susan B. Anthony Academy,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,9,29Q238
Dr. Jacqueline Peek-Davis School,Elementary,17.0,*,*,*,*,*,*,*,*,17K012
I.S. 024 Myra S. Barnes,Junior High-Intermediate-Middle,31.0,*,*,*,*,*,*,*,23,31R024
P.S./I.S. 104 The Fort Hamilton School,K-8,20.0,*,*,*,*,*,*,*,*,20K104
P.S. 38 Roberto Clemente,Elementary,4.0,*,*,*,6,*,*,*,9,04M038
M.S. 301 Paul L. Dunbar,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,*,08X301
"The High School for Enterprise, Business and Techn",High school,14.0,*,*,6,*,*,*,*,9,14K478
"M.S. 267 Math, Science & Technology",Junior High-Intermediate-Middle,16.0,*,*,8,*,*,*,*,11,16K267
Pelham Lab High School,High school,8.0,*,*,8,12,*,*,*,22,08X320
P.S. 023 Carter G. Woodson,Elementary,14.0,*,*,*,*,*,*,*,*,14K023
P.S. 052 John C. Thompson,Elementary,31.0,*,*,*,*,*,*,*,*,31R052
Mosaic Pre-K Center,District Pre-K Center,24.0,*,*,*,*,*,*,*,*,24Q331
East New York Elementary School of Excellence,Elementary,19.0,*,*,8,*,*,*,*,10,19K677
Cornerstone Academy for Social Action Middle Schoo,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*,11X462
The Brooklyn School for Math and Research,High school,32.0,*,*,*,*,*,*,*,*,32K168
J.H.S. 127 The Castle Hill,Junior High-Intermediate-Middle,11.0,*,*,23,21,*,*,*,48,11X127
Home Schooling,Central-HQ-Citywide,18.0,*,*,*,*,*,*,*,*,18K444
P.S. 016 John J. Driscoll,Elementary,31.0,*,*,8,*,*,*,*,13,31R016
P.S. 067 Charles A. Dorsey,Elementary,13.0,*,*,*,*,*,*,*,*,13K067
Explorations Academy,High school,12.0,*,*,*,*,*,*,*,*,12X251
The High School For Language And Diplomacy,High school,2.0,*,*,*,*,*,*,*,*,02M399
El Puente Academy for Peace and Justice,High school,14.0,*,*,*,*,*,*,*,*,14K685
I.S. 49 Berta A. Dreyfus,Junior High-Intermediate-Middle,31.0,*,*,27,7,*,*,*,40,31R049
Urban Institute of Mathematics,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,*,08X371
Milton Fein School,Elementary,10.0,*,*,*,*,*,*,*,*,10X007
Urban Assembly School for Criminal Justice,Secondary School,20.0,*,*,10,*,*,*,*,13,20K609
P.S. 205 Clarion,Elementary,20.0,*,*,*,*,*,*,*,*,20K205
School for Democracy and Leadership,Secondary School,17.0,*,*,47,*,*,*,*,52,17K533
P.S. 196 Ten Eyck,Elementary,14.0,*,*,*,*,*,*,*,*,14K196
Special Music School,K-12 all grades,3.0,*,*,*,*,*,*,*,*,03M859
New Design High School,High school,2.0,*,*,*,*,*,*,*,7,02M543
The Christa McAuliffe School\I.S. 187,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,*,20K187
P.S. 042 Benjamin Altman,Elementary,2.0,*,*,*,*,*,*,*,*,02M042
Brooklyn Gardens Elementary School,Elementary,19.0,*,*,*,*,*,*,*,*,19K557
Central Park East I,Elementary,4.0,*,*,*,*,*,*,*,*,04M497
P.S. 069 Jackson Heights,Elementary,30.0,*,*,*,*,*,*,*,*,30Q069
P.S. 107,Elementary,8.0,*,*,*,*,*,*,*,*,08X107
P.S. 192 Jacob H. Schiff,Elementary,6.0,*,*,*,*,*,*,*,*,06M192
Stevenson Yabc,High school,8.0,*,*,*,*,*,*,*,*,08X507
Renaissance High School for Musical Theater & Tech,High school,8.0,*,*,*,*,*,*,*,15,08X293
T. Roosevelt Evening Hs M/W,Ungraded,10.0,*,*,*,*,*,*,*,*,10X903
P.S. 122 Mamie Fay,K-8,30.0,*,*,*,*,*,*,*,*,30Q122
Origins High School,High school,22.0,*,*,6,*,*,*,*,9,22K611
P.S. 100 The Coney Island School,Elementary,21.0,*,*,*,*,*,*,*,*,21K100
P.S./I.S. 295,K-8,29.0,*,*,6,*,*,*,*,7,29Q295
Bronxdale High School,High school,11.0,*,*,*,*,*,*,*,*,11X508
P.S. K315,Elementary,22.0,*,*,6,*,*,*,*,7,22K315
J.H.S. 202 Robert H. Goddard,Junior High-Intermediate-Middle,27.0,*,*,*,6,*,*,*,11,27Q202
P.S. 081 Robert J. Christen,Elementary,10.0,*,*,*,*,*,*,*,*,10X081
P.S./I.S. 217 Roosevelt Island,K-8,2.0,*,*,*,*,*,*,*,8,02M217
"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*,01M301
Christopher Avenue Community School,Elementary,23.0,*,*,*,*,*,*,*,*,23K401
Home Schooling,Central-HQ-Citywide,20.0,*,*,*,*,*,*,*,*,20K444
Sheridan Academy for Young Leaders,Elementary,9.0,*,*,*,*,*,*,*,*,09X457
P.S. 119,Elementary,8.0,*,*,*,*,*,*,*,*,08X119
The Global Learning Collaborative,High school,3.0,*,*,*,*,*,*,*,*,03M403
P.S. 016 Leonard Dunkly,Elementary,14.0,*,*,*,*,*,*,*,*,14K016
P.S. 155 William Paca,Elementary,4.0,*,*,*,*,*,*,*,*,04M155
Green School: An Academy for Environmental Careers,High school,14.0,*,*,*,*,*,*,*,*,14K454
District 20 Pre-K Center,District Pre-K Center,20.0,*,*,*,*,*,*,*,*,20K768
Brooklyn High School for Law and Technology,High school,16.0,*,*,23,*,*,*,*,27,16K498
South Bronx Preparatory: A College Board School,Secondary School,7.0,*,*,*,*,*,*,*,*,07X221
P.S. 020 Clinton Hill,Elementary,13.0,*,*,*,*,*,*,*,*,13K020
City College Academy of the Arts,Secondary School,6.0,*,*,*,*,*,*,*,*,06M293
World Academy for Total Community Health High Scho,High school,19.0,*,*,*,*,*,*,*,6,19K510
J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,25.0,*,*,*,*,*,*,*,*,25Q189
Institute for Health Professions at Cambria Height,High school,29.0,*,*,7,*,*,*,*,8,29Q243
Bronx Collegiate Academy,High school,9.0,*,*,*,*,*,*,*,*,09X227
LYFE,Ungraded,79.0,*,*,*,*,*,*,*,*,79M984
M.S. 51 William Alexander,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*,15K051
P.S. 004 Duke Ellington,Elementary,6.0,*,*,*,*,*,*,*,*,06M004
P.S. 224 Hale A. Woodruff,Elementary,19.0,*,*,*,*,*,*,*,6,19K224
Frederick Douglass Academy II Secondary School,Secondary School,3.0,*,*,*,*,*,*,*,44,03M860
P.S. 084 Lillian Weber,Elementary,3.0,*,*,*,*,*,*,*,8,03M084
I.S. 027 Anning S. Prall,Junior High-Intermediate-Middle,31.0,*,*,23,12,*,*,*,40,31R027
P.S. 256 Benjamin Banneker,Elementary,13.0,*,*,*,*,*,*,*,*,13K256
The School for Inquiry and Social Justice,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,18,08X337
Urban Scholars Community School,Elementary,12.0,*,*,*,*,*,*,*,*,12X463
Collaborative Arts Middle School,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,11,29Q355
P.S. 139 Alexine A. Fenty,Elementary,22.0,*,*,13,*,*,*,*,17,22K139
"Elementary School for Math, Science, and Technolog",Elementary,10.0,*,*,*,*,*,*,*,*,10X382
P.S. Q086,Elementary,28.0,*,*,*,*,*,*,*,*,28Q086
Brooklyn Lab School,High school,19.0,*,*,6,*,*,*,*,11,19K639
Vista Academy,Junior High-Intermediate-Middle,19.0,*,*,*,7,*,*,*,9,19K661
P.S. 80 The Thurgood Marshall Magnet School of Mul,Elementary,28.0,*,*,*,*,*,*,*,*,28Q080
I.S. 034 Tottenville,Junior High-Intermediate-Middle,31.0,*,*,*,*,*,*,*,*,31R034
I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,21.0,*,*,8,*,8,*,*,21,21K281
River East Elementary,Elementary,4.0,*,*,*,*,*,*,*,6,04M037
P.S. 003 Charrette School,Elementary,2.0,*,*,*,*,*,*,*,*,02M003
John Ericsson Middle School 126,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,8,14K126
P.S. 024 Spuyten Duyvil,Elementary,10.0,*,*,*,*,*,*,*,*,10X024
Queens Gateway to Health Sciences Secondary School,Secondary School,28.0,*,*,*,*,*,*,*,*,28Q680
P.S. 156 Laurelton,Elementary,29.0,*,*,*,*,*,*,*,*,29Q156
P.S. R037,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75R037
Scholars' Academy,Secondary School,27.0,*,*,*,*,*,*,*,*,27Q323
Gramercy Arts High School,High school,2.0,*,*,8,*,*,*,*,13,02M374
P.S. 146 Howard Beach,K-8,27.0,*,*,*,*,*,*,*,*,27Q146
P.S. 138 Brooklyn,K-8,17.0,*,*,*,*,*,*,*,7,17K138
Knowledge and Power Preparatory Academy Internatio,High school,10.0,*,*,*,*,*,*,*,*,10X374
J.H.S. 210 Elizabeth Blackwell,Junior High-Intermediate-Middle,27.0,*,*,*,9,*,*,*,10,27Q210
P.S. 132 The Conselyea School,Elementary,14.0,*,*,*,*,*,*,*,*,14K132
P.S. 125 Ralph Bunche,Elementary,5.0,*,*,*,*,*,*,*,*,05M125
Henry Street School for International Studies,Secondary School,1.0,*,*,*,*,*,*,*,*,01M292
High School for Law and Public Service,High school,6.0,*,*,*,*,*,*,*,9,06M467
P.S. 083 Donald Hertz,K-8,11.0,*,*,*,11,*,*,*,15,11X083
P.S. 152 Evergreen,Elementary,8.0,*,*,*,*,*,*,*,*,08X152
Flushing High School,High school,25.0,*,*,*,7,*,*,*,13,25Q460
P.S. 165 Robert E. Simon,K-8,3.0,*,*,*,10,*,*,*,14,03M165
Brooklyn Secondary School for Collaborative Studie,Secondary School,15.0,*,*,8,*,*,*,*,15,15K448
Earth School,Elementary,1.0,*,*,*,*,*,*,*,*,01M364
P.S./M.S. 11X498 - VAN NEST ACADEMY,K-8,11.0,*,*,*,6,*,*,*,9,11X498
Humanities & Arts Magnet High School,High school,29.0,*,*,11,*,*,*,*,13,29Q498
P.S. 361 East Flatbush Early Childhood School,Early Childhood,22.0,*,*,*,*,*,*,*,*,22K361
P.S. 149 Christa Mcauliffe,Elementary,30.0,*,*,*,*,*,*,*,*,30Q149
P.S. 295,Elementary,15.0,*,*,*,*,*,*,*,*,15K295
P.S. 130,Elementary,25.0,*,*,*,*,*,*,*,*,25Q130
The Stephanie A. Vierno School,Elementary,31.0,*,*,*,*,*,*,*,*,31R041
Academy For Personal Leadership And Excellence,Junior High-Intermediate-Middle,10.0,*,*,*,6,*,*,*,8,10X363
P.S. 009,K-8,75.0,*,*,*,*,*,*,*,*,75Q009
Frederick Douglass Academy V. Middle School,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,7,12X273
P.S. 279 Herman Schreiber,Elementary,18.0,*,*,*,*,*,*,*,*,18K279
Wadleigh Secondary School for the Performing & Vis,Secondary School,3.0,*,*,*,*,*,*,*,6,03M415
Academy for Conservation and the Environment,High school,18.0,*,*,*,*,*,*,*,*,18K637
Home Schooling,Central-HQ-Citywide,12.0,*,*,*,*,*,*,*,*,12X444
Eagle Academy for Young Men III,Secondary School,29.0,*,*,*,*,*,*,*,9,29Q327
P.S. 033 Timothy Dwight,Elementary,10.0,*,*,*,*,*,*,*,*,10X033
I.S. 096 Seth Low,Junior High-Intermediate-Middle,21.0,*,*,7,*,*,*,*,11,21K096
Bronx Early College Academy for Teaching & Learnin,Secondary School,9.0,*,*,14,17,*,*,*,32,09X324
P.S. 032 The Gifford School,Elementary,31.0,*,*,*,*,*,*,*,*,31R032
Magnet Sch For Early Childhood,Early Childhood,15.0,*,*,*,*,*,*,*,*,15K836
Academy of Arts and Letters,K-8,13.0,*,*,*,*,*,*,*,*,13K492
Harlem Renaissance High School,High school,5.0,*,*,*,*,*,*,*,*,05M285
School for Global Leaders,Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*,01M378
"Queens High School of Teaching, Liberal Arts and t",High school,26.0,*,*,28,*,*,*,*,36,26Q566
I.S. 232,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,6,09X232
Frederick Douglass Academy VII High School,High school,23.0,*,*,*,*,*,*,*,*,23K514
P.S. 098 Shorac Kappock,Elementary,6.0,*,*,*,6,*,*,*,7,06M098
P.S. 272 Curtis Estabrook,Elementary,18.0,*,*,*,*,*,*,*,*,18K272
P.S. 089 Elmhurst,Elementary,24.0,*,*,*,*,*,*,*,*,24Q089
P.S. X140 The Eagle School,Elementary,8.0,*,*,*,*,*,*,*,*,08X140
P.S. 229 Dyker,K-8,20.0,*,*,*,*,*,*,*,*,20K229
Jamaica Children's School,Elementary,28.0,*,*,*,*,*,*,*,*,28Q312
P.S. 076 William Hallet,Elementary,30.0,*,*,*,*,*,*,*,7,30Q076
Crotona Academy High School,High school,7.0,*,*,*,*,*,*,*,*,07X321
J.H.S. 050 John D. Wells,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,*,14K050
Benjamin N. Cardozo High School,High school,26.0,*,*,34,10,*,*,*,49,26Q415
P.S. M094,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75M094
Repertory Company High School for Theatre Arts,High school,2.0,*,*,*,*,*,*,*,*,02M531
P.S. M169 - Robert F. Kennedy,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75M169
P.S. 308 Clara Cardwell,K-8,16.0,*,*,9,*,*,*,*,10,16K308
J.H.S. 014 Shell Bank,Junior High-Intermediate-Middle,22.0,*,*,*,*,*,*,*,6,22K014
Wave Preparatory Elementary School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q362
"Urban Assembly School of Business for Young Women,",High school,2.0,*,*,9,*,*,*,*,12,02M316
P.S. 195 William Haberle,Elementary,29.0,*,*,*,*,*,*,*,*,29Q195
P.S. 065 Mother Hale Academy,Elementary,7.0,*,*,*,*,*,*,*,*,07X065
Pioneer Academy,Elementary,24.0,*,*,*,*,*,*,*,*,24Q307
The New American Academy at Roberto Clemente State,Elementary,9.0,*,*,*,*,*,*,*,*,09X274
Washington Irving Yabc,High school,2.0,*,*,*,*,*,*,*,*,02M473
P.S. 123 Suydam,Elementary,32.0,*,*,*,*,*,*,*,*,32K123
P.S. 164 Caesar Rodney,Elementary,20.0,*,*,*,*,*,*,*,*,20K164
P186X Walter J. Damrosch School,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75X186
P.S. 212 Lady Deborah Moody,Elementary,21.0,*,*,*,*,*,*,*,*,21K212
School of Science & Technology,Elementary,22.0,*,*,*,*,*,*,*,6,22K152
District 25 PRE-K Center,District Pre-K Center,25.0,*,*,*,*,*,*,*,*,25Q409
P.S. 021 Crispus Attucks,Elementary,16.0,*,*,*,*,*,*,*,*,16K021
P.S. 033 Edward M. Funk,Elementary,29.0,*,*,*,*,*,*,*,*,29Q033
P.S. 109,K-8,22.0,*,*,36,*,*,*,*,38,22K109
