school/gender.chool Name,school/gender.Grade,school/gender.Year,school/gender.Category,school/gender.Number Tested,school/gender.Mean Scale Score,school/gender.Level1_N,school/gender.Level1_%,school/gender.Level2_N,school/gender.Level2_%,school/gender.Level3_N,school/gender.Level3_%,school/gender.Level4_N,school/gender.Level4_%,school/gender.Level3+4_N,school/gender.Level3+4_%,DBN
JHS 123 JAMES M KIERAN,All Grades,2013,Female,238,280.0,127.0,53.4,87.0,36.6,19.0,8.0,5.0,2.1,24.0,10.1,08X123
UPPER SCHOOL @ PS 25,7,2013,Male,26,276.0,15.0,57.7,11.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,16K534
THE GORDON PARKS SCHOOL,3,2017,Female,32,331.0,5.0,15.6,2.0,6.3,19.0,59.4,6.0,18.8,25.0,78.1,29Q270
ELEMENTARY SCHOOL FOR MATH SCIENCE AND TECHNOLOGY,All Grades,2013,Male,83,283.0,43.0,51.8,38.0,45.8,2.0,2.4,0.0,0.0,2.0,2.4,10X382
JHS 131 ALBERT EINSTEIN,6,2014,Female,93,287.0,38.0,40.9,43.0,46.2,6.0,6.5,6.0,6.5,12.0,12.9,08X131
PS 536,5,2016,Female,24,290.0,10.0,41.7,10.0,41.7,2.0,8.3,2.0,8.3,4.0,16.7,12X536
PS 360,4,2016,Female,33,288.0,13.0,39.4,12.0,36.4,5.0,15.2,3.0,9.1,8.0,24.2,10X360
PS 006 LILLIE D BLAKE,5,2016,Female,54,347.0,2.0,3.7,4.0,7.4,18.0,33.3,30.0,55.6,48.0,88.9,02M006
PS 212,3,2016,Female,15,304.0,4.0,26.7,6.0,40.0,5.0,33.3,0.0,0.0,5.0,33.3,12X212
PS 062 INOCENSIO CASANOVA,3,2014,Female,46,279.0,26.0,56.5,14.0,30.4,6.0,13.0,0.0,0.0,6.0,13.0,08X062
NEW YORK CITY ACADEMY FOR DISCOVERY,All Grades,2017,Female,87,305.0,24.0,27.6,32.0,36.8,23.0,26.4,8.0,9.2,31.0,35.6,27Q306
IS 347 SCHOOL OF HUMANITIES,6,2015,Female,35,283.0,18.0,51.4,10.0,28.6,6.0,17.1,1.0,2.9,7.0,20.0,32K347
PS 041 CROCHERON,All Grades,2013,Female,130,329.0,6.0,4.6,35.0,26.9,58.0,44.6,31.0,23.8,89.0,68.5,26Q041
EAST NEW YORK FAMILY ACADEMY,7,2014,Female,35,312.0,3.0,8.6,18.0,51.4,11.0,31.4,3.0,8.6,14.0,40.0,19K409
PS 049 DOROTHY BONAWIT KOLE,4,2017,Female,53,330.0,4.0,7.5,11.0,20.8,18.0,34.0,20.0,37.7,38.0,71.7,24Q049
MUSCOTA,4,2014,Female,21,321.0,2.0,9.5,6.0,28.6,9.0,42.9,4.0,19.0,13.0,61.9,06M314
PS 066 JACQUELINE KENNEDY ONASSIS,3,2017,Female,43,325.0,5.0,11.6,10.0,23.3,20.0,46.5,8.0,18.6,28.0,65.1,27Q066
PSIS 210  TWENTY FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,All Grades,2014,Male,126,290.0,48.0,38.1,60.0,47.6,11.0,8.7,7.0,5.6,18.0,14.3,06M210
PSIS 268,3,2016,Male,37,316.0,4.0,10.8,16.0,43.2,17.0,45.9,0.0,0.0,17.0,45.9,29Q268
PS 329 SURFSIDE,4,2017,Male,33,288.0,17.0,51.5,13.0,39.4,2.0,6.1,1.0,3.0,3.0,9.1,21K329
COLLABORATIVE ACADEMY OF SCIENCE TECHNOLOGY & LANGUAGE ARTS EDUCATION,All Grades,2014,Male,70,291.0,24.0,34.3,32.0,45.7,10.0,14.3,4.0,5.7,14.0,20.0,01M345
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,8,2016,Female,39,306.0,4.0,10.3,23.0,59.0,10.0,25.6,2.0,5.1,12.0,30.8,27Q309
PS 157 GROVE HILL,All Grades,2015,Male,146,288.0,70.0,47.9,60.0,41.1,16.0,11.0,0.0,0.0,16.0,11.0,07X157
PS 212 MIDTOWN WEST,All Grades,2016,Female,85,339.0,1.0,1.2,8.0,9.4,46.0,54.1,30.0,35.3,76.0,89.4,02M212
PS 236 LANGSTON HUGHES,All Grades,2017,Male,62,293.0,28.0,45.2,20.0,32.3,13.0,21.0,1.0,1.6,14.0,22.6,09X236
PS 019 MARINO JEANTET,5,2015,Male,142,289.0,58.0,40.8,53.0,37.3,19.0,13.4,12.0,8.5,31.0,21.8,24Q019
BRONX ALLIANCE MIDDLE SCHOOL,All Grades,2015,Female,75,278.0,48.0,64.0,19.0,25.3,7.0,9.3,1.0,1.3,8.0,10.7,11X355
PS 096 JOSEPH LANZETTA,6,2017,Male,19,261.0,15.0,78.9,4.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,04M096
PS 184M SHUANG WEN,5,2015,Male,37,333.0,0.0,0.0,10.0,27.0,12.0,32.4,15.0,40.5,27.0,73.0,01M184
GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,8,2014,Male,25,293.0,5.0,20.0,15.0,60.0,5.0,20.0,0.0,0.0,5.0,20.0,04M381
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,6,2014,Female,53,311.0,8.0,15.1,25.0,47.2,10.0,18.9,10.0,18.9,20.0,37.7,30Q291
PS 161 PEDRO ALBIZU CAMPOS,5,2014,Female,39,294.0,16.0,41.0,15.0,38.5,5.0,12.8,3.0,7.7,8.0,20.5,05M161
PS 075 MAYDA CORTIELLA,5,2015,Female,31,290.0,15.0,48.4,13.0,41.9,2.0,6.5,1.0,3.2,3.0,9.7,32K075
JHS 067 LOUIS PASTEUR,6,2013,Female,148,327.0,14.0,9.5,41.0,27.7,28.0,18.9,65.0,43.9,93.0,62.8,26Q067
PS 055 BENJAMIN FRANKLIN,3,2015,Female,57,277.0,38.0,66.7,15.0,26.3,4.0,7.0,0.0,0.0,4.0,7.0,09X055
PS 073 BRONX,3,2014,Female,59,271.0,42.0,71.2,14.0,23.7,3.0,5.1,0.0,0.0,3.0,5.1,09X073
PS 029 QUEENS,All Grades,2013,Male,144,301.0,49.0,34.0,55.0,38.2,31.0,21.5,9.0,6.3,40.0,27.8,25Q029
PS 146 ANN M SHORT,All Grades,2013,Female,78,285.0,36.0,46.2,38.0,48.7,4.0,5.1,0.0,0.0,4.0,5.1,04M146
PS 003 THE MARGARET GIOIOSA SCHOOL,5,2013,Male,77,318.0,11.0,14.3,26.0,33.8,26.0,33.8,14.0,18.2,40.0,51.9,31R003
NEW DIRECTIONS SECONDARY SCHOOL,All Grades,2014,Female,39,256.0,35.0,89.7,3.0,7.7,1.0,2.6,0.0,0.0,1.0,2.6,09X350
PRUCE STREET SCHOOL,All Grades,2016,Male,102,328.0,5.0,4.9,25.0,24.5,42.0,41.2,30.0,29.4,72.0,70.6,02M397
PS 123 SUYDAM,3,2014,Female,62,288.0,31.0,50.0,22.0,35.5,9.0,14.5,0.0,0.0,9.0,14.5,32K123
THE ACADEMY OF THE ARTS,4,2016,Female,20,289.0,10.0,50.0,6.0,30.0,4.0,20.0,0.0,0.0,4.0,20.0,08X335
PS 3 RAUL JULIA MICRO SOCIETY,8,2017,Female,16,313.0,1.0,6.3,7.0,43.8,6.0,37.5,2.0,12.5,8.0,50.0,10X003
PS 153 MASPETH ELEM,4,2016,Male,91,315.0,13.0,14.3,27.0,29.7,34.0,37.4,17.0,18.7,51.0,56.0,24Q153
PS 096,5,2016,Female,17,317.0,3.0,17.6,5.0,29.4,6.0,35.3,3.0,17.6,9.0,52.9,27Q096
PS 081 ROBERT J CHRISTEN,3,2015,Male,42,310.0,10.0,23.8,15.0,35.7,12.0,28.6,5.0,11.9,17.0,40.5,10X081
PS 305 DR PETER RAY,4,2014,Male,10,274.0,7.0,70.0,2.0,20.0,0.0,0.0,1.0,10.0,1.0,10.0,13K305
PS 163 ALFRED E SMITH,3,2013,Male,51,317.0,11.0,21.6,10.0,19.6,24.0,47.1,6.0,11.8,30.0,58.8,03M163
PS 105 THE BLYTHEBOURNE,4,2015,Female,148,313.0,27.0,18.2,51.0,34.5,41.0,27.7,29.0,19.6,70.0,47.3,20K105
PS 222 KATHERINE R SNYDER,4,2013,Male,62,309.0,11.0,17.7,25.0,40.3,20.0,32.3,6.0,9.7,26.0,41.9,22K222
IS 73  THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,7,2013,Female,270,306.0,63.0,23.3,111.0,41.1,72.0,26.7,24.0,8.9,96.0,35.6,24Q073
PS 190 SHEFFIELD,3,2014,Male,13,277.0,8.0,61.5,3.0,23.1,2.0,15.4,0.0,0.0,2.0,15.4,19K190
PS 376,3,2013,Male,53,293.0,23.0,43.4,21.0,39.6,8.0,15.1,1.0,1.9,9.0,17.0,32K376
MS M247 DUAL LANGUAGE MIDDLE SCHOOL,8,2016,Female,36,312.0,6.0,16.7,11.0,30.6,15.0,41.7,4.0,11.1,19.0,52.8,03M247
PSMS 031 THE WILLIAM LLOYD GARRISON,8,2013,Male,45,268.0,25.0,55.6,16.0,35.6,4.0,8.9,0.0,0.0,4.0,8.9,07X031
BROOKLYN STUDIO SECONDARY SCHOOL,7,2017,Female,44,316.0,1.0,2.3,21.0,47.7,18.0,40.9,4.0,9.1,22.0,50.0,21K690
PS 171 PATRICK HENRY,8,2013,Male,51,305.0,8.0,15.7,27.0,52.9,12.0,23.5,4.0,7.8,16.0,31.4,04M171
ACADEMY FOR NEW AMERICANS,All Grades,2016,Male,47,247.0,41.0,87.2,6.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,30Q235
PS 325,5,2016,Male,25,276.0,18.0,72.0,4.0,16.0,2.0,8.0,1.0,4.0,3.0,12.0,06M325
PS 273 WORTMAN,5,2015,Female,28,284.0,16.0,57.1,9.0,32.1,2.0,7.1,1.0,3.6,3.0,10.7,19K273
PS 214 MICHAEL FRIEDSAM,All Grades,2014,Male,208,289.0,97.0,46.6,76.0,36.5,29.0,13.9,6.0,2.9,35.0,16.8,19K214
PS 120 CARLOS TAPIA,4,2016,Male,31,311.0,4.0,12.9,13.0,41.9,8.0,25.8,6.0,19.4,14.0,45.2,14K120
PS X140 THE EAGLE SCHOOL,5,2017,Female,47,282.0,24.0,51.1,19.0,40.4,2.0,4.3,2.0,4.3,4.0,8.5,08X140
JHS 088 PETER ROUGET,8,2017,Male,159,317.0,15.0,9.4,54.0,34.0,62.0,39.0,28.0,17.6,90.0,56.6,15K088
PS 190 SHEFFIELD,All Grades,2014,Female,54,286.0,27.0,50.0,18.0,33.3,8.0,14.8,1.0,1.9,9.0,16.7,19K190
PS 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,7,2015,Female,29,294.0,9.0,31.0,14.0,48.3,6.0,20.7,0.0,0.0,6.0,20.7,16K262
JONAS BRONCK ACADEMY,8,2015,Male,38,311.0,0.0,0.0,23.0,60.5,13.0,34.2,2.0,5.3,15.0,39.5,10X228
PS 69 VINCENT D GRIPPO SCHOOL,3,2015,Male,90,297.0,36.0,40.0,24.0,26.7,26.0,28.9,4.0,4.4,30.0,33.3,20K069
PS 032 THE GIFFORD SCHOOL,3,2013,Female,58,312.0,8.0,13.8,23.0,39.7,27.0,46.6,0.0,0.0,27.0,46.6,31R032
PS 335 GRANVILLE T WOODS,4,2016,Male,28,303.0,6.0,21.4,10.0,35.7,10.0,35.7,2.0,7.1,12.0,42.9,16K335
PS 127 AEROSPACE SCIENCE MAGNET SCHOOL,5,2013,Male,71,284.0,44.0,62.0,16.0,22.5,5.0,7.0,6.0,8.5,11.0,15.5,30Q127
PS 084 STEINWAY,3,2016,Female,15,312.0,3.0,20.0,5.0,33.3,7.0,46.7,0.0,0.0,7.0,46.7,30Q084
PS 223 LYNDON B JOHNSON,5,2013,Female,51,302.0,15.0,29.4,22.0,43.1,9.0,17.6,5.0,9.8,14.0,27.5,27Q223
PS 002 ALFRED ZIMBERG,4,2014,Male,58,302.0,15.0,25.9,20.0,34.5,17.0,29.3,6.0,10.3,23.0,39.7,30Q002
JHS 062 DITMAS,7,2013,Male,185,287.0,74.0,40.0,74.0,40.0,33.0,17.8,4.0,2.2,37.0,20.0,20K062
PS 38 ROBERTO CLEMENTE,All Grades,2014,Male,60,282.0,36.0,60.0,19.0,31.7,4.0,6.7,1.0,1.7,5.0,8.3,04M038
PS 096 JOSEPH LANZETTA,4,2013,Female,27,293.0,9.0,33.3,12.0,44.4,5.0,18.5,1.0,3.7,6.0,22.2,04M096
PS 195,All Grades,2015,Male,210,274.0,136.0,64.8,58.0,27.6,15.0,7.1,1.0,0.5,16.0,7.6,12X195
PS 081 ROBERT J CHRISTEN,3,2015,Female,42,310.0,9.0,21.4,18.0,42.9,13.0,31.0,2.0,4.8,15.0,35.7,10X081
CENTRAL PARK EAST II,All Grades,2015,Male,24,320.0,2.0,8.3,10.0,41.7,8.0,33.3,4.0,16.7,12.0,50.0,04M964
PS 046 ALLEY POND,5,2013,Female,27,329.0,1.0,3.7,9.0,33.3,10.0,37.0,7.0,25.9,17.0,63.0,26Q046
PS 191 MAYFLOWER,All Grades,2016,Male,83,322.0,10.0,12.0,22.0,26.5,37.0,44.6,14.0,16.9,51.0,61.4,26Q191
PS 208 ELSA EBELING,3,2015,Male,35,287.0,18.0,51.4,11.0,31.4,6.0,17.1,0.0,0.0,6.0,17.1,18K208
PS 325,5,2014,Male,22,270.0,17.0,77.3,4.0,18.2,1.0,4.5,0.0,0.0,1.0,4.5,06M325
PS 186 CASTLEWOOD,4,2017,Male,34,324.0,2.0,5.9,13.0,38.2,6.0,17.6,13.0,38.2,19.0,55.9,26Q186
CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,6,2017,Female,61,280.0,26.0,42.6,28.0,45.9,4.0,6.6,3.0,4.9,7.0,11.5,28Q072
PS 256 BENJAMIN BANNEKER,5,2016,Male,23,286.0,12.0,52.2,8.0,34.8,2.0,8.7,1.0,4.3,3.0,13.0,13K256
PS 138 BROOKLYN,5,2015,Male,33,295.0,13.0,39.4,15.0,45.5,2.0,6.1,3.0,9.1,5.0,15.2,17K138
PS 036 MARGARET DOUGLAS,All Grades,2015,Male,95,277.0,57.0,60.0,30.0,31.6,7.0,7.4,1.0,1.1,8.0,8.4,05M036
ALL CITY LEADERSHIP SECONDARY SCHOOL,8,2013,Male,19,311.0,3.0,15.8,9.0,47.4,4.0,21.1,3.0,15.8,7.0,36.8,32K554
HAWTREE CREEK MIDDLE SCHOOL,6,2015,Male,82,290.0,33.0,40.2,35.0,42.7,10.0,12.2,4.0,4.9,14.0,17.1,27Q297
PS 127 MCKINLEY PARK,5,2015,Female,43,310.0,7.0,16.3,16.0,37.2,14.0,32.6,6.0,14.0,20.0,46.5,20K127
EAST FORDHAM ACADEMY FOR THE ARTS,All Grades,2015,Female,157,284.0,74.0,47.1,62.0,39.5,20.0,12.7,1.0,0.6,21.0,13.4,10X459
PS 018 PARK TERRACE,5,2017,Female,13,289.0,5.0,38.5,5.0,38.5,3.0,23.1,0.0,0.0,3.0,23.1,06M018
THE ACTIVE LEARNING ELEMENTARY SCHOOL,3,2016,Male,31,336.0,1.0,3.2,5.0,16.1,19.0,61.3,6.0,19.4,25.0,80.6,25Q244
THE ANGELO PATRI MIDDLE SCHOOL,All Grades,2015,Female,208,278.0,117.0,56.3,69.0,33.2,16.0,7.7,6.0,2.9,22.0,10.6,10X391
PS 089 ELMHURST,5,2016,Male,146,300.0,48.0,32.9,50.0,34.2,35.0,24.0,13.0,8.9,48.0,32.9,24Q089
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,All Grades,2017,Female,66,299.0,19.0,28.8,28.0,42.4,17.0,25.8,2.0,3.0,19.0,28.8,17K382
PS 032 THE GIFFORD SCHOOL,5,2016,Male,55,300.0,19.0,34.5,10.0,18.2,15.0,27.3,11.0,20.0,26.0,47.3,31R032
PS 74 FUTURE LEADERS ELEMENTARY SCHOOL,4,2017,Female,33,300.0,10.0,30.3,12.0,36.4,7.0,21.2,4.0,12.1,11.0,33.3,31R074
PSMS 147 RONALD MCNAIR,8,2016,Male,36,297.0,9.0,25.0,20.0,55.6,7.0,19.4,0.0,0.0,7.0,19.4,29Q147
PS 127 AEROSPACE SCIENCE MAGNET SCHOOL,6,2015,Female,66,297.0,17.0,25.8,36.0,54.5,7.0,10.6,6.0,9.1,13.0,19.7,30Q127
PS 034 OLIVER H PERRY,4,2015,Male,39,321.0,4.0,10.3,8.0,20.5,18.0,46.2,9.0,23.1,27.0,69.2,14K034
PS 184M SHUANG WEN,4,2016,Male,28,314.0,2.0,7.1,15.0,53.6,8.0,28.6,3.0,10.7,11.0,39.3,01M184
THE ANDERSON SCHOOL,4,2016,Male,26,350.0,0.0,0.0,3.0,11.5,1.0,3.8,22.0,84.6,23.0,88.5,03M334
PS 200 BENSON SCHOOL,5,2017,Male,112,301.0,39.0,34.8,40.0,35.7,17.0,15.2,16.0,14.3,33.0,29.5,20K200
PS 039 HENRY BRISTOW,4,2015,Female,25,337.0,1.0,4.0,3.0,12.0,9.0,36.0,12.0,48.0,21.0,84.0,15K039
PS 020 ANNA SILVER,5,2016,Male,39,293.0,16.0,41.0,15.0,38.5,8.0,20.5,0.0,0.0,8.0,20.5,01M020
PS Q016 THE NANCY DEBENEDITTIS SCHOOL,All Grades,2013,Female,484,302.0,161.0,33.3,189.0,39.0,101.0,20.9,33.0,6.8,134.0,27.7,24Q016
PS 160 WALT DISNEY,3,2017,Female,23,311.0,6.0,26.1,7.0,30.4,9.0,39.1,1.0,4.3,10.0,43.5,11X160
PS IS 155 NICHOLAS HERKIMER,8,2013,Male,23,275.0,15.0,65.2,7.0,30.4,0.0,0.0,1.0,4.3,1.0,4.3,23K155
CHOOL FOR GLOBAL LEADERS,All Grades,2013,Male,114,280.0,58.0,50.9,50.0,43.9,5.0,4.4,1.0,0.9,6.0,5.3,01M378
ATELLITE EAST MIDDLE SCHOOL,8,2014,Female,27,273.0,15.0,55.6,10.0,37.0,2.0,7.4,0.0,0.0,2.0,7.4,13K301
PS 086 KINGSBRIDGE HEIGHTS,All Grades,2017,Male,425,296.0,171.0,40.2,128.0,30.1,85.0,20.0,41.0,9.6,126.0,29.6,10X086
PS 104 THE BAYS WATER,4,2016,Female,53,297.0,17.0,32.1,22.0,41.5,11.0,20.8,3.0,5.7,14.0,26.4,27Q104
IS 145 JOSEPH PULITZER,8,2015,Female,315,296.0,84.0,26.7,156.0,49.5,63.0,20.0,12.0,3.8,75.0,23.8,30Q145
THE ACTIVE LEARNING ELEMENTARY SCHOOL,3,2014,Female,34,333.0,3.0,8.8,3.0,8.8,22.0,64.7,6.0,17.6,28.0,82.4,25Q244
BRONX LATIN,6,2015,Female,36,297.0,10.0,27.8,19.0,52.8,4.0,11.1,3.0,8.3,7.0,19.4,12X267
PS 035 NATHANIEL WOODHULL,4,2014,Female,63,304.0,17.0,27.0,20.0,31.7,22.0,34.9,4.0,6.3,26.0,41.3,29Q035
PS 091 BRONX,All Grades,2016,Male,175,287.0,80.0,45.7,55.0,31.4,35.0,20.0,5.0,2.9,40.0,22.9,10X091
PECIAL MUSIC SCHOOL,6,2014,Female,11,355.0,0.0,0.0,1.0,9.1,2.0,18.2,8.0,72.7,10.0,90.9,03M859
PS 098 THE DOUGLASTON SCHOOL,5,2013,Female,18,342.0,0.0,0.0,3.0,16.7,8.0,44.4,7.0,38.9,15.0,83.3,26Q098
MS 260 CLINTON SCHOOL WRITERS & ARTISTS,7,2015,Male,20,311.0,3.0,15.0,6.0,30.0,9.0,45.0,2.0,10.0,11.0,55.0,02M260
PS 306 ETHAN ALLEN,All Grades,2016,Male,175,287.0,76.0,43.4,69.0,39.4,28.0,16.0,2.0,1.1,30.0,17.1,19K306
PS 159 ISAAC PITKIN,All Grades,2017,Male,198,291.0,91.0,46.0,61.0,30.8,33.0,16.7,13.0,6.6,46.0,23.2,19K159
PS 032 BELMONT,All Grades,2016,Female,214,305.0,58.0,27.1,84.0,39.3,58.0,27.1,14.0,6.5,72.0,33.6,10X032
PS 219 PAUL KLAPPER,7,2013,Female,29,305.0,6.0,20.7,12.0,41.4,11.0,37.9,0.0,0.0,11.0,37.9,25Q219
PS 008 ISAAC VARIAN,4,2013,Female,109,300.0,26.0,23.9,57.0,52.3,21.0,19.3,5.0,4.6,26.0,23.9,10X008
JHS 157 STEPHEN A HALSEY,8,2014,Male,223,303.0,49.0,22.0,86.0,38.6,62.0,27.8,26.0,11.7,88.0,39.5,28Q157
PS 051 ELIAS HOWE,5,2017,Female,23,312.0,4.0,17.4,10.0,43.5,5.0,21.7,4.0,17.4,9.0,39.1,02M051
PS 236 MILL BASIN,4,2016,Female,41,329.0,3.0,7.3,12.0,29.3,11.0,26.8,15.0,36.6,26.0,63.4,22K236
PS 045 CLARENCE WITHERSPOON,6,2015,Female,21,310.0,1.0,4.8,11.0,52.4,4.0,19.0,5.0,23.8,9.0,42.9,27Q045
PS 089 CYPRESS HILLS,8,2015,Male,24,282.0,9.0,37.5,14.0,58.3,1.0,4.2,0.0,0.0,1.0,4.2,19K089
PS 045 CLARENCE WITHERSPOON,5,2013,Male,33,292.0,17.0,51.5,9.0,27.3,6.0,18.2,1.0,3.0,7.0,21.2,27Q045
JHS 050 JOHN D WELLS,6,2016,Male,21,271.0,13.0,61.9,6.0,28.6,1.0,4.8,1.0,4.8,2.0,9.5,14K050
PS 062 INOCENSIO CASANOVA,5,2016,Male,61,285.0,30.0,49.2,20.0,32.8,10.0,16.4,1.0,1.6,11.0,18.0,08X062
JEAN NUZZI INTERMEDIATE SCHOOL,All Grades,2017,Male,508,300.0,139.0,27.4,194.0,38.2,128.0,25.2,47.0,9.3,175.0,34.4,29Q109
ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,All Grades,2014,Male,162,282.0,76.0,46.9,68.0,42.0,16.0,9.9,2.0,1.2,18.0,11.1,04M825
PS 770 NEW AMERICAN ACADEMY,3,2017,Female,16,312.0,5.0,31.3,3.0,18.8,7.0,43.8,1.0,6.3,8.0,50.0,17K770
PS 178 SAINT CLAIR MCKELWAY,All Grades,2017,Male,80,290.0,29.0,36.3,29.0,36.3,17.0,21.3,5.0,6.3,22.0,27.5,23K178
PS 137 JOHN L BERNSTEIN,All Grades,2014,Male,41,268.0,28.0,68.3,11.0,26.8,1.0,2.4,1.0,2.4,2.0,4.9,01M137
MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,All Grades,2016,Female,83,314.0,11.0,13.3,25.0,30.1,38.0,45.8,9.0,10.8,47.0,56.6,04M224
PS 65 THE ACADEMY OF INNOVATIVE LEARNING,All Grades,2014,Male,94,300.0,24.0,25.5,43.0,45.7,22.0,23.4,5.0,5.3,27.0,28.7,31R065
PS 176 CAMBRIA HEIGHTS,All Grades,2015,Female,203,326.0,18.0,8.9,55.0,27.1,81.0,39.9,49.0,24.1,130.0,64.0,29Q176
PS 011 PURVIS J BEHAN,All Grades,2015,Male,162,313.0,25.0,15.4,50.0,30.9,72.0,44.4,15.0,9.3,87.0,53.7,13K011
PS 140 EDWARD K ELLINGTON,4,2017,Female,24,289.0,8.0,33.3,13.0,54.2,1.0,4.2,2.0,8.3,3.0,12.5,28Q140
PS 212,3,2017,Male,19,282.0,11.0,57.9,6.0,31.6,2.0,10.5,0.0,0.0,2.0,10.5,12X212
PS 058,4,2013,Female,32,269.0,22.0,68.8,7.0,21.9,3.0,9.4,0.0,0.0,3.0,9.4,09X058
PS 022 GRANITEVILLE,4,2013,Female,75,291.0,31.0,41.3,30.0,40.0,13.0,17.3,1.0,1.3,14.0,18.7,31R022
PRUCE STREET SCHOOL,3,2016,Female,19,347.0,0.0,0.0,2.0,10.5,10.0,52.6,7.0,36.8,17.0,89.5,02M397
IS 119 THE GLENDALE,4,2017,Male,38,326.0,2.0,5.3,12.0,31.6,12.0,31.6,12.0,31.6,24.0,63.2,24Q119
THE MICHAEL J PETRIDES SCHOOL,7,2015,Female,51,313.0,4.0,7.8,20.0,39.2,25.0,49.0,2.0,3.9,27.0,52.9,31R080
PS 128 BENSONHURST,5,2013,Male,26,294.0,9.0,34.6,12.0,46.2,4.0,15.4,1.0,3.8,5.0,19.2,21K128
PS 106 PARKCHESTER,5,2016,Female,100,308.0,16.0,16.0,46.0,46.0,30.0,30.0,8.0,8.0,38.0,38.0,11X106
RED HOOK NEIGHBORHOOD SCHOOL,All Grades,2013,Female,43,288.0,22.0,51.2,12.0,27.9,8.0,18.6,1.0,2.3,9.0,20.9,15K676
PS 188 KINGSBURY,4,2015,Male,45,337.0,6.0,13.3,7.0,15.6,10.0,22.2,22.0,48.9,32.0,71.1,26Q188
PS 69 VINCENT D GRIPPO SCHOOL,5,2014,Male,87,308.0,19.0,21.8,28.0,32.2,32.0,36.8,8.0,9.2,40.0,46.0,20K069
PARKSIDE PREPARATORY ACADEMY,All Grades,2013,Female,206,296.0,67.0,32.5,90.0,43.7,38.0,18.4,11.0,5.3,49.0,23.8,17K002
PS 051 BRONX NEW SCHOOL,3,2013,Male,26,288.0,12.0,46.2,9.0,34.6,5.0,19.2,0.0,0.0,5.0,19.2,10X051
PSIS 295,3,2015,Male,27,296.0,10.0,37.0,10.0,37.0,6.0,22.2,1.0,3.7,7.0,25.9,29Q295
PS 56 THE LOUIS DESARIO SCHOOL,4,2013,Female,64,315.0,5.0,7.8,27.0,42.2,26.0,40.6,6.0,9.4,32.0,50.0,31R056
PS 126 DR MARJORIE H DUNBAR,3,2016,Female,50,304.0,13.0,26.0,23.0,46.0,13.0,26.0,1.0,2.0,14.0,28.0,09X126
PS 166 HENRY GRADSTEIN,5,2017,Female,106,335.0,9.0,8.5,20.0,18.9,32.0,30.2,45.0,42.5,77.0,72.6,30Q166
PS 157 GROVE HILL,All Grades,2017,Male,144,287.0,64.0,44.4,56.0,38.9,22.0,15.3,2.0,1.4,24.0,16.7,07X157
PS 046 ARTHUR TAPPAN,6,2016,Male,32,266.0,21.0,65.6,10.0,31.3,1.0,3.1,0.0,0.0,1.0,3.1,05M046
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,6,2016,Male,28,286.0,14.0,50.0,10.0,35.7,2.0,7.1,2.0,7.1,4.0,14.3,19K678
MS 326  WRITERS TODAY & LEADERS TOMORROW,8,2013,Female,33,264.0,23.0,69.7,10.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,06M326
PS 022 GRANITEVILLE,All Grades,2014,Male,238,287.0,112.0,47.1,90.0,37.8,35.0,14.7,1.0,0.4,36.0,15.1,31R022
PS 008 ISAAC VARIAN,5,2014,Female,112,302.0,30.0,26.8,52.0,46.4,21.0,18.8,9.0,8.0,30.0,26.8,10X008
MAGNET SCHOOL OF MATH SCIENCE AND DESIGN TECHNOLOGY,3,2013,Male,80,324.0,9.0,11.3,24.0,30.0,37.0,46.3,10.0,12.5,47.0,58.8,15K010
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,7,2015,Male,33,287.0,17.0,51.5,13.0,39.4,3.0,9.1,0.0,0.0,3.0,9.1,27Q309
PS 046 EDWARD C BLUM,3,2015,Male,23,280.0,13.0,56.5,6.0,26.1,4.0,17.4,0.0,0.0,4.0,17.4,13K046
PS 230 DORIS L COHEN,4,2013,Male,101,299.0,35.0,34.7,34.0,33.7,15.0,14.9,17.0,16.8,32.0,31.7,15K230
PS 024 SPUYTEN DUYVIL,4,2015,Female,64,319.0,7.0,10.9,20.0,31.3,23.0,35.9,14.0,21.9,37.0,57.8,10X024
MS 326  WRITERS TODAY & LEADERS TOMORROW,6,2013,Male,34,268.0,21.0,61.8,10.0,29.4,1.0,2.9,2.0,5.9,3.0,8.8,06M326
