Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
Bureau of Street Services,86LVL5,Bureau of Street Services,Pavement Preservation,86SLURRY,Number of Lane Miles Resurfaced and Slurry Sealed,2013-14 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Construction,86ACCESS,Number of Pedestrian Access Ramps Installed,2013-14 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Engineering,86DESIGN,Value of Design-Build Projects Completed,2013-14 Actuals
Zoo,87LVL5,Zoo,Animal Health Care,87HEALTH,Number of Animal Preventative Health Exams Conducted,2013-14 Actuals
Zoo,87LVL5,Zoo,Admissions,87ONLINE,Percent of Ticket Sale Transactions Conducted Online,2013-14 Actuals
Zoo,87LVL5,Zoo,Custodial Services,87CLEAN,"Percent of ""Excellent"" Rating For Facility Cleanliness",2013-14 Actuals
Zoo,87LVL5,Zoo,Public Relations and Marketing,87FILM,Number of Commercial Film Shoots at the Zoo,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Museums and Educational,88MUSEUM,Number of Annual Museum Visitors,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Griffith Observatory,88GRIFFITH,Number of Griffith Observatory Visitors,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Aquatics,88AQUATIC,Total Attendance at City Aquatic Facilities,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Building and Facilities Maintenance,88JOBORDER,Maintenance Job Orders Completed,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Expo Center,88EXPO,Number of EXPO Center Visitors,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Recreational Programming,88SPORTS,Number of Youth and Adult Sports Program Registrations,2013-14 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Public Safety,88SAFE,Percent of Visitors Feeling 'Safe' or 'Very Safe',2013-14 Actuals
Transportation,94LVL5,Transportation,Transit Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2013-14 Actuals
Transportation,94LVL5,Transportation,Transportation Infrastructure and Project Delivery,94GRANTS,Number of Projects Successful in Securing Grant Funding,2013-14 Actuals
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2013-14 Actuals
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94TICKET,Two Year Parking Ticket Collection Rate,2013-14 Actuals
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2013-14 Actuals
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2013-14 Actuals
Transportation,94LVL5,Transportation,Public Transit Services,94TRANSIT,Percent of LADOT Transit On-Time Arrivals,2013-14 Actuals
Transportation,94LVL5,Transportation,Major Project Coordination,94METRO,Percent of Metro Plans Reviewed within 20 Business Days,2013-14 Actuals
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2013-14 Actuals
Transportation,94LVL5,Transportation,Crossing Guard Services,94GUARDS,Number of Guards Assigned,2013-14 Actuals
Aging,02LVL5,Aging,Senior Services,02MEALS,Number of Home Delivered and Congregate Meals Provided,2014-15 Actuals
Aging,02LVL5,Aging,Family Caregiver Services,02CAREGIVER,Number of Participants in Caregiver Information Sessions,2014-15 Actuals
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2014-15 Actuals
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Sold,2014-15 Actuals
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2014-15 Actuals
Animal Services,06LVL5,Animal Services,Animal Medical Services,06SPAYNEUTER,Number of Spay/Neuter Surgeries,2014-15 Actuals
Animal Services,06LVL5,Animal Services,Public Counters and Community Services,06VOLUNTEER,Number of Volunteer Hours,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Commercial Inspection and Licensing,08PLUMBINSPECT,Percent of Plumbing Inspections Completed in 24 Hours,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Development Services Case Management,08CASEMGMT,Percent of Case Management Projects Contacted in 5 Days,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2014-15 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2014-15 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Management Services,10IFAPPS,Percent of Submitted Innovation Fund Applications Reviewed,2014-15 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Employee Relations Compensation and Benefits,10ACTIVEMOUS,Percent of Active Memorandum of Understandings,2014-15 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Risk Management,10INSDOCSSUBMIT,Percent of Contractors Self-Submitting Ins Docs - Track4LA,2014-15 Actuals
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2014-15 Actuals
City Clerk,14LVL5,City Clerk,Administration of City Elections,14ADAPOLL,Number of Completed ADA Improvements to Polling Places,2014-15 Actuals
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2014-15 Actuals
City Clerk,14LVL5,City Clerk,Special Assessments,14ANNUALPLAN,Number of Annual Planning Reports Submitted by March 1,2014-15 Actuals
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2014-15 Actuals
Ethics Commission,17LVL5,City Ethics Commission,Governmental Ethics,17ENFORCEMENT,Percent of Enforcement Cases Resolved,2014-15 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Adult Workforce Development,22ADULTJOBS,Number of WIA-Funded Adults Placed in Jobs,2014-15 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Economic Development,22NEWJOBS,Number of New Jobs Created Through Business Source Centers,2014-15 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Youth Workforce Development,22HIRELA,Number of HireLA's Youth Placed in Employment,2014-15 Actuals
Controller,26LVL5,Controller,Accounting and Disbursement of City Funds,26DISBURSEMENTS,Paymaster Disbursements,2014-15 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2014-15 Actuals
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITS,Number of Audit Recommendations,2014-15 Actuals
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FINSYSSUPP,Number of Documents Generated in FMS,2014-15 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2014-15 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2014-15 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2014-15 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Systems Development and Support,32PSSYSTEMS,Percent of System Availability for Public Safety Systems,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,3-1-1 Operations,32311CALLS,Percent of 3-1-1 Calls Answered,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Cable Television,32CH35PROG,Hours of Channel 35 Programming Produced,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Office Systems Support,32EMAIL,Percent of Email System Availability,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Systems Development and Support,32LATAX,Percent of LATAX System Availability in Tax Renewal Season,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise and Distributed Systems and Operation,32DATACENTER,Percent of Data Center Servers Virtualized,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Network Engineering and Operations,32VOICE,"Percent of Voice, Call Center, & Video Systems Availability",2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Data Engineering and Operations,32NETWORK,Percent of Network Availability,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Business Applications and Web Services,32WEBSITE,Percent of LACity.org Website Availability,2014-15 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,History and Museums,33ELPTOURS,Number of Tours at the El Pueblo Monument,2014-15 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Marketing and Events,33ELPATTEND,"Number of Cultural, Traditional, and Informational Attendees",2014-15 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2014-15 Actuals
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2014-15 Actuals
Employee Relations Board,36LVL5,Employee Relations Board,Employee Relations,36UERP,Number of UERP Related Filings,2014-15 Actuals
Fire,38LVL5,Fire,Arson Investigation and Counter-Terrorism,38INVESTIGATION,Percentage Convictions in Arson Cases,2014-15 Actuals
Fire,38LVL5,Fire,Fire Suppression,38FIRETRAVEL,Average Travel Time to Fire Incident,2014-15 Actuals
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2014-15 Actuals
Fire,38LVL5,Fire,Metropolitan Fire Communications,38DISPATCH,Call Processing Time,2014-15 Actuals
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2014-15 Actuals
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2014-15 Actuals
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTRAVEL,Average Travel Time to EMS Incident,2014-15 Actuals
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2014-15 Actuals
Fire,38LVL5,Fire,Training,38TRAINING,Recruit Class Retention Rate,2014-15 Actuals
Fire,38LVL5,Fire,"Procurement, Maintenance and Repair",38FLEET,Fleet Availability Rate,2014-15 Actuals
Finance,39LVL5,Finance,Revenue Management,39LIEN,Percent of Lien Cases Solved,2014-15 Actuals
Finance,39LVL5,Finance,Treasury Services,39TREASURY,Percent of Treasury Management Requests Resolved in One Day,2014-15 Actuals
Finance,39LVL5,Finance,LATAX System Support,39LATAX,Number of Renewals Processed in LATAX,2014-15 Actuals
Finance,39LVL5,Finance,Customer Service,39CALLS,Percent of Call Center Calls Answered,2014-15 Actuals
Finance,39LVL5,Finance,Investment,39COMPLIANCE,Percent Compliant with Investment Policies and Procedures,2014-15 Actuals
Finance,39LVL5,Finance,Tax and Permit,39AUDIT,Percent of Accounts Audited,2014-15 Actuals
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2014-15 Actuals
General Services,40LVL5,General Services,Building Maintenance,40MAINTENANCE,Percent of Maintenance Work Requests Completed,2014-15 Actuals
General Services,40LVL5,General Services,Construction Forces,40CONSTESTIMATE,Construction Projects Completed within Original Estimate,2014-15 Actuals
General Services,40LVL5,General Services,Real Estate Services,40SURPLUS,Percent of Surplus Property Sales Presented to Council,2014-15 Actuals
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2014-15 Actuals
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2014-15 Actuals
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2014-15 Actuals
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2014-15 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2014-15 Actuals
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2014-15 Actuals
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2014-15 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2014-15 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Affordable Housing Asset Management,43COVENANTS,Affordable Housing Covenants Extended,2014-15 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2014-15 Actuals
