all/school_pe.Borough,all/school_pe.Admin District,all/school_pe.Geographical District,all/school_pe.Location Code,all/school_pe.DBN,all/school_pe.School Level ,all/school_pe.Student Enrollment,all/school_pe.Full Time Licensed PE Teachers,all/school_pe.F Status PE Teachers*,all/school_pe.Itinerant PE Teachers*,all/school_pe.Sum of F Status and Itinerant*,all/school_pe.Total Part Time and Full Time PE Teachers*,all/school_pe.Shared PE teachers with another school*,all/school_pe.Ratio of Full Time Licensed PE Teachers to Students*
Bronx,9,9,X505,09X505,Secondary School                   ,735,3,0,0,0,3,0,1:245
Queens,25,25,Q214,25Q214,Elementary                         ,500,1,0,0,0,1,0,1:500
Manhattan,6,6,M278,06M278,K-8                                ,545,1,0,0,0,1,0,1:545
Brooklyn,20,20,K069,20K069,Elementary                         ,804,0,0,0,0,0,0,0
Queens,26,26,Q158,26Q158,Junior High-Intermediate-Middle    ,1056,4,0,0,0,4,0,1:264
Bronx,8,8,X432,08X432,High School                        ,290,1,0,0,0,1,0,1:290
Brooklyn,16,16,K309,16K309,Elementary                         ,158,1,0,0,0,1,0,1:158
Queens,30,30,Q501,30Q501,High School                        ,838,3,0,0,0,3,0,1:279
Brooklyn,32,32,K075,32K075,Elementary                         ,330,0,0,0,0,0,0,0
Bronx,8,8,X062,08X062,Elementary                         ,598,1,0,0,0,1,0,1:598
Brooklyn,15,15,K295,15K295,Elementary                         ,413,0,2,0,2,2,0,0
Queens,28,28,Q325,28Q325,High School                        ,461,2,0,0,0,2,0,1:231
Manhattan,2,2,M546,02M546,High School                        ,441,2,0,0,0,2,0,1:221
Brooklyn,18,18,K115,18K115,Elementary                         ,872,0,0,0,0,0,0,0
Queens,24,24,Q093,24Q093,Junior High-Intermediate-Middle    ,1082,4,0,0,0,4,0,1:271
Queens,30,30,Q011,30Q011,Elementary                         ,1088,0,0,0,0,0,0,0
Manhattan,2,2,M374,02M374,High School                        ,511,2,0,0,0,2,0,1:256
Staten Island,31,31,R050,31R050,Elementary                         ,746,0,0,0,0,0,0,0
Bronx,7,7,X495,07X495,High School                        ,461,1,0,0,0,1,0,1:461
Queens,27,27,Q045,27Q045,Elementary                         ,298,1,0,0,0,1,0,1:298
Bronx,10,10,X003,10X003,K-8                                ,293,1,0,0,0,1,0,1:293
Manhattan,2,2,M527,02M527,Elementary                         ,283,0,0,0,0,0,0,0
Brooklyn,22,22,K194,22K194,Elementary                         ,440,1,0,0,0,1,0,1:440
Brooklyn,23,23,K643,23K643,High School                        ,184,1,0,0,0,1,0,1:184
Queens,24,24,Q143,24Q143,Elementary                         ,1649,2,0,0,0,2,0,1:825
Queens,27,27,Q400,27Q400,High School                        ,327,3,0,0,0,3,0,1:109
Brooklyn,17,17,K568,17K568,High School                        ,103,1,0,0,0,1,0,1:103
Staten Island,31,31,R022,31R022,Elementary                         ,938,1,0,0,0,1,0,1:938
Queens,24,24,Q113,24Q113,K-8                                ,891,1,0,0,0,1,0,1:891
